"REF_DATE","GEO","DGUID","Statistics (6B)","Age (15A)","Gender (3)","Highest certificate, diploma or degree (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","141.1.1.1.2","13.5","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","141.1.1.1.3","29.5","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","141.1.1.1.7","3.2","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","141.1.1.1.8","4.5","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","141.1.1.1.9","16.9","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","141.1.1.1.10","3.8","","","","1"
"2021","British Columbia","2021A000259","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","141.1.1.1.11","28.6","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","170.1.1.1.1","100.0","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","170.1.1.1.2","14.8","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","170.1.1.1.3","25.5","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","170.1.1.1.7","3.3","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","170.1.1.1.8","6.3","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","170.1.1.1.9","19.1","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","University certificate or diploma below bachelor level","","0","units","0","","170.1.1.1.10","3.6","","","","1"
"2021","Yukon","2021A000260","(%) distribution","Total - Age","Total - Gender","Bachelor’s degree or higher","","0","units","0","","170.1.1.1.11","27.3","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","Total - Highest certificate, diploma or degree","","0","units","0","","172.1.1.1.1","100.0","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","No certificate, diploma or degree","","0","units","0","","172.1.1.1.2","25.9","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","High (secondary) school diploma or equivalency certificate","","0","units","0","","172.1.1.1.3","24.3","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","Non-apprenticeship trades certificate or diploma","","0","units","0","","172.1.1.1.7","4.0","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","Apprenticeship certificate","","0","units","0","","172.1.1.1.8","4.4","","","","1"
"2021","Northwest Territories","2021A000261","(%) distribution","Total - Age","Total - Gender","College, CEGEP or other non-university certificate or diploma","","0","units","0","","172.1.1.1.9","16.5","","","","1"
